CUSTOMER_SK,NO_OF_PRODUCT,DISTINCT_PRODUCT,TOTAL_REVENUE,NO_OF_VISIT,AVERAGE_PRICE,PERCENTAGE_BASKETS_WEEKEND
60664447,515,252,3037.92891,18,4.534292418,18.1111
21584436,859,253,3037.67976,290,3.326072497,0.7345
59504665,686,232,3021.13967,81,3.811764744,0
37353924,790,402,3012.20962,37,3.698468581,3.8919
22286348,767,348,2999.48983,66,3.765851678,6.8939
41538512,611,304,2990.94934,47,3.687268373,4.5745
39317622,748,409,2985.4198,59,4.110472819,2.7119
36164600,706,281,2984.84953,32,3.985270014,2.4063
21561441,742,384,2977.52962,43,3.793583214,12.5116
22287906,550,302,2969.08912,37,4.859977386,6.1351
59502886,700,402,2967.23958,46,3.942099643,3.0435
58910480,635,365,2961.12929,40,4.387123759,2.3
58299728,644,340,2951.37947,29,4.158655148,20.8276
59794466,719,448,2939.28965,108,4.06275358,2.3333
38988153,642,318,2921.99965,56,4.313806136,0.7679
60416645,599,345,2920.79927,129,2.922398915,0.6667
59607596,650,301,2918.0196,25,3.687602312,2.12
60084673,723,327,2910.12971,40,3.895400095,3.55
58657920,721,293,2908.04974,71,3.74636987,1.6197
59910413,553,243,2905.04927,56,4.781002446,2.2679
58266455,601,370,2873.95947,51,4.531855333,3.1765
59427733,397,146,2846.25802,82,4.448171254,1.3049
39741082,843,474,2836.22993,35,3.425023934,5.2857
58831091,551,324,2826.33951,31,4.336600786,5.8387
22283777,642,273,2826.04942,38,4.123656447,4.4211
22448137,628,400,2825.67955,65,3.894520519,1.3538
58808222,574,335,2822.7295,59,4.135879403,2.4237
59566474,779,343,2812.77986,75,3.516438523,4.3333
59752418,857,369,2795.93989,94,3.194880411,2.6702
59920039,543,142,2791.36955,79,4.572393221,4.6203
21173320,670,279,2785.36975,56,3.94832543,4.1964
59577999,764,407,2775.90983,97,3.680710193,5.134
59579364,717,326,2763.80967,93,3.412303772,1.9355
23635344,607,303,2757.6697,36,4.2330051,1.4444
58283072,656,308,2734.32965,42,3.642767079,12.5952
22114167,392,137,2726.8282,80,4.114515292,1.45
21621964,512,242,2720.54928,56,4.482155821,4.5
51835173,679,315,2719.77969,29,3.853941434,16.3448
62349068,605,418,2716.34969,26,4.102362314,6.0385
59564876,708,476,2715.68967,37,3.659577592,3.6757
59106914,531,413,2713.51942,21,4.575210652,4.2381
58872822,683,373,2708.40963,49,3.57634523,2.8571
21432192,622,310,2700.90946,33,4.110955413,5.6364
22302616,685,318,2695.19967,75,3.557542323,2.4533
59459473,636,158,2685.96985,19,3.832631396,0
35109326,777,421,2682.2198,69,3.37156751,4.0145
39314414,615,152,2681.13978,18,3.857220155,0
22208972,687,266,2680.98984,75,3.617985631,0.3333
22642065,674,294,2677.73959,21,3.737677954,2.7143
58237558,591,266,2675.65963,25,3.987080772,1.64
22562109,697,491,2672.90979,25,3.371126875,10.56
61373866,631,232,2671.21976,87,3.93998898,1.4828
58341594,558,274,2670.44962,60,4.297075253,2.8333
59531190,661,301,2664.30963,46,3.59314542,2.6522
59427703,918,316,2662.05978,127,2.655469465,2.3701
22114791,644,334,2648.40958,100,3.687796438,1.67
58474854,537,280,2647.79949,61,4.408881816,3.6393
21272846,588,365,2645.62964,11,4.296247928,0
59829841,709,289,2641.21969,23,3.448295159,0.3913
40047305,608,391,2639.64956,38,3.986505985,3.8158
58890296,527,268,2632.40934,23,4.124931807,10.9565
21452032,539,259,2629.85929,17,4.071254627,22.6471
62344524,650,222,2622.39962,72,3.904888465,3.2639
22540295,738,319,2617.96988,88,3.403892507,3.0568
59618289,583,264,2605.51972,58,3.744826986,2.6897
58327318,598,390,2605.3896,35,3.944133857,3
22114425,785,406,2600.25959,171,2.977261032,1.5439
62430433,620,227,2595.31969,33,3.781441656,5.5152
59003863,689,178,2585.56962,119,3.199818662,1.5294
20666033,586,312,2585.48941,52,4.109718478,4.0385
59487318,636,313,2583.51979,31,3.905740976,5.6452
20759298,583,318,2576.73964,50,4.045662087,3.5
59077043,806,429,2572.73969,104,3.132722535,2.4038
22760738,511,169,2572.73952,66,4.361656316,4.6061
59751318,657,345,2568.27979,51,3.950412298,1.5882
60637096,628,315,2565.28978,26,3.971387577,0.5385
22114125,798,329,2545.44984,110,2.913563781,2.0818
60349370,569,265,2542.61947,43,3.826621708,8.0465
58642186,608,282,2541.17958,31,3.521625171,4.1935
59077582,566,289,2540.81964,40,4.085255415,4.5
